"","artist","num_words","num_unique_words","per_unique"
"545","action-item",2749,427,0.155329210622044
"546","action-pact",103,74,0.718446601941748
"547","active-child",2576,473,0.18361801242236
"548","acts-29",540,293,0.542592592592593
"549","acumen-nation",1803,559,0.310038824181919
"550","ad",1616,517,0.319925742574257
"551","ad-hominem",1202,578,0.480865224625624
"552","ad-sorry-jaynari",2326,614,0.263972484952709
"553","ada-band",766,462,0.60313315926893
"554","adaaeaaineay-iaidiia",186,17,0.0913978494623656
"555","adagio",3972,1048,0.263846928499496
"556","adair",3178,774,0.243549402139711
"557","adakain",225,65,0.288888888888889
"558","adam",563,176,0.312611012433393
"559","adam-and-andrew",3551,869,0.244719797240214
"560","adam-and-the-ants",22223,2878,0.129505467308644
"561","adam-ant",2411,626,0.259643301534633
"562","adam-barnes",1919,499,0.260031266284523
"563","adam-bertrand",623,187,0.30016051364366
"564","adam-brand",10655,1851,0.173721257625528
"565","adam-burns",290,102,0.351724137931034
"566","adam-cappa",245,94,0.383673469387755
"567","adam-cohen",4044,742,0.183481701285856
"568","adam-dimarco",248,71,0.286290322580645
"569","adam-eve",2453,649,0.26457399103139
"570","adam-ezra-group",476,224,0.470588235294118
"571","adam-faith",192,62,0.322916666666667
"572","adam-fears",257,75,0.291828793774319
"573","adam-green",6298,1425,0.226262305493808
"574","adam-gregory",10655,1382,0.129704364148287
"575","adam-gussow",241,74,0.307053941908714
"576","adam-harvey",132,94,0.712121212121212
"577","adam-hood",2577,681,0.264260768335274
"578","adam-kay-suman-biswas",3203,1144,0.357165157664689
"579","adam-lambert",26790,1990,0.0742814483016051
"580","adam-levine",1594,372,0.233375156838143
"581","adam-madoun",1189,345,0.290159798149706
"582","adam-mardel",1714,366,0.213535589264877
"583","adam-naas",275,62,0.225454545454545
"584","adam-noah",301,143,0.475083056478405
"585","adam-pascal",667,215,0.322338830584708
"586","adam-rafferty",94,60,0.638297872340426
"587","adam-saleh",499,147,0.294589178356713
"588","adam-sams",2304,644,0.279513888888889
"589","adam-sandler",36492,4532,0.124191603639154
"590","adam-says",596,209,0.350671140939597
"591","adam-tensta",1563,420,0.268714011516315
"592","adam-torres",171,66,0.385964912280702
"593","adam-trent",400,86,0.215
"594","adam-wakefield",1526,380,0.249017038007864
"595","adam-watts",559,183,0.32737030411449
"596","adam-wheatley",2113,466,0.220539517274018
"597","adamal123",1773,328,0.184997179921038
"598","adamantium",1359,492,0.362030905077263
"599","adamjlss",1130,238,0.210619469026549
"600","adamlar",330,229,0.693939393939394
"601","adamn-killa",649,176,0.271186440677966
"602","adamo",2919,841,0.288112367249058
"603","adamosa-osagiede",72,30,0.416666666666667
"604","adams-oleta",157,74,0.471337579617834
"605","adamski",290,72,0.248275862068966
"606","adan-sanchez",160,71,0.44375
"607","adarels",79,57,0.721518987341772
"608","addal",169,65,0.384615384615385
"609","addict",1477,432,0.292484766418416
"610","addiction-crew",2921,532,0.182129407737076
"611","addictiv",509,154,0.302554027504912
"612","addison-payne",134,93,0.694029850746269
"613","addison-road",3472,610,0.175691244239631
"614","adeade",563,240,0.426287744227353
"615","adel-tawil",1842,574,0.311617806731813
"616","adelasn",287,68,0.236933797909408
"617","adele",17338,1366,0.0787864805629254
"618","adelitas-way",14279,1009,0.0706632117095035
"619","adelphi",2295,557,0.242701525054466
"620","adema",15155,1410,0.093038601121742
"621","adena",266,60,0.225563909774436
"622","adeneca",502,177,0.352589641434263
"623","adera",307,155,0.504885993485342
"624","adesse",307,138,0.449511400651466
"625","adey",238,13,0.0546218487394958
"626","adhitia-sofyan",1946,598,0.307297019527235
"627","adian-coker",296,139,0.469594594594595
